"","Portfolio Manager Property ID","Property GFA - Self-Reported (m²)","Electricity Use - Grid Purchase (kWh)","Primary Property Type - Self Selected","ID","Area","kWh","Property_Type","log_Area"
"237",28033742,913,"61832","Fire Station",28033742,913,61832,"Fire Station",6.81673588059497
"238",28033743,1044,"Not Available","Fire Station",28033743,1044,NA,"Fire Station",6.95081476844258
"239",28033744,1190,"Not Available","Fire Station",28033744,1190,NA,"Fire Station",7.08170858610557
"240",28033745,814,"92688.9","Fire Station",28033745,814,92688.9,"Fire Station",6.70196036600254
"241",28033746,653,"Not Available","Fire Station",28033746,653,NA,"Fire Station",6.48157712927643
"242",28033747,365,"Not Available","Fire Station",28033747,365,NA,"Fire Station",5.89989735358249
"243",28033748,725,"Not Available","Fire Station",28033748,725,NA,"Fire Station",6.58617165485467
"244",28033749,879,"114751.1","Fire Station",28033749,879,114751.1,"Fire Station",6.77878489768518
"245",28033750,738,"65157.3","Fire Station",28033750,738,65157.3,"Fire Station",6.60394382460047
"246",28033751,1146,"Not Available","Fire Station",28033751,1146,NA,"Fire Station",7.04403289727469
"247",28033752,545,"Not Available","Fire Station",28033752,545,NA,"Fire Station",6.30078579466324
"248",28033753,739,"Not Available","Fire Station",28033753,739,NA,"Fire Station",6.6052979209482
"249",28033754,1160,"Not Available","Fire Station",28033754,1160,NA,"Fire Station",7.05617528410041
"250",28033755,363,"Not Available","Fire Station",28033755,363,NA,"Fire Station",5.89440283426485
"251",28033756,1093,"124498.1","Fire Station",28033756,1093,124498.1,"Fire Station",6.99668148817654
"252",28033757,468,"104929","Fire Station",28033757,468,104929,"Fire Station",6.14846829591765
"253",28033758,482,"33392","Fire Station",28033758,482,33392,"Fire Station",6.1779441140506
"254",28033759,640,"91918.6","Fire Station",28033759,640,91918.6,"Fire Station",6.46146817635372
"255",28033760,1809,"Not Available","Fire Station",28033760,1809,NA,"Fire Station",7.5005294853953
"256",28033761,1438,"191706.8","Fire Station",28033761,1438,191706.8,"Fire Station",7.27100853828099
"257",28033762,365,"Not Available","Fire Station",28033762,365,NA,"Fire Station",5.89989735358249
"258",28033763,365,"Not Available","Fire Station",28033763,365,NA,"Fire Station",5.89989735358249
"259",28033764,1093,"Not Available","Fire Station",28033764,1093,NA,"Fire Station",6.99668148817654
"260",28033765,743,"Not Available","Fire Station",28033765,743,NA,"Fire Station",6.61069604471776
"261",28033766,2137,"162014.79999999999","Fire Station",28033766,2137,162014.8,"Fire Station",7.66715825531915
"262",28033769,929,"Not Available","Social/Meeting Hall",28033769,929,NA,"Social/Meeting Hall",6.83410873881384
"263",28033774,836,"Not Available","Office",28033774,836,NA,"Office",6.7286286130847
"264",28033775,2090,"223045.1","Office",28033775,2090,223045.1,"Office",7.64491934495886
"265",28033776,2100,"95121.7","Other - Public Services",28033776,2100,95121.7,"Other - Public Services",7.64969262371151
"266",28033777,1487.2,"314993.2","Library",28033777,1487.2,314993.2,"Library",7.30465043640723
"267",28033778,2415,"350519.1","Other - Lodging/Residential",28033778,2415,350519.1,"Other - Lodging/Residential",7.78945456608667
"268",28033782,1422.2,"Not Available","Heated Swimming Pool",28033782,1422.2,NA,"Heated Swimming Pool",7.25996024744942
"269",28033794,604.2,"Not Available","Library",28033794,604.2,NA,"Library",6.40390526895257
"270",28033795,777,"Not Available","Other - Entertainment/Public Assembly",28033795,777,NA,"Other - Entertainment/Public Assembly",6.65544035036765
"271",28033809,951,"379746.7","Other - Recreation",28033809,951,379746.7,"Other - Recreation",6.85751406254539
"272",28033811,743.2,"235596.3","Library",28033811,743.2,235596.3,"Library",6.61096518749963
"273",28033825,686,"44036.4","Other - Public Services",28033825,686,44036.4,"Other - Public Services",6.53087762772588
"274",28033830,93,"Not Available","Wastewater Treatment Plant",28033830,93,NA,"Wastewater Treatment Plant",4.53259949315326
"275",28033834,1800.7,"Not Available","Other - Lodging/Residential",28033834,1800.7,NA,"Other - Lodging/Residential",7.49593075717546
"276",28033835,279.6,"Not Available","Library",28033835,279.6,NA,"Library",5.63336001035966
"277",28033837,1960,"627126.4","Heated Swimming Pool",28033837,1960,627126.4,"Heated Swimming Pool",7.58069975222456
"278",28033840,2444,"216001.2","Ice/Curling Rink",28033840,2444,216001.2,"Ice/Curling Rink",7.80139132029149
"279",28033842,256,"65993.8","Other - Public Services",28033842,256,65993.8,"Other - Public Services",5.54517744447956
"280",28033845,192.4,"1897930.7","Other - Public Services",28033845,192.4,1897930.7,"Other - Public Services",5.25957653823161
"281",28033846,1418,"198076.1","Heated Swimming Pool",28033846,1418,198076.1,"Heated Swimming Pool",7.25700270709207
"282",28033848,400,"15577","Social/Meeting Hall",28033848,400,15577,"Social/Meeting Hall",5.99146454710798
"283",28033851,236,"12693","Office",28033851,236,12693,"Office",5.46383180502561
"284",28033864,822.2,"Not Available","Library",28033864,822.2,NA,"Library",6.71198367446378
"285",28033883,650.3,"94259.4","Library",28033883,650.3,94259.4,"Library",6.47743379487511
"286",28033887,694.3,"105515.5","Library",28033887,694.3,105515.5,"Library",6.54290414375923
"287",28033893,2120,"603485.1","Other - Entertainment/Public Assembly",28033893,2120,603485.1,"Other - Entertainment/Public Assembly",7.65917136766606
"288",28033897,395,"20487.099999999999","Social/Meeting Hall",28033897,395,20487.1,"Social/Meeting Hall",5.97888576490112
"289",28033900,31.2,"215.5","Other - Public Services",28033900,31.2,215.5,"Other - Public Services",3.44041809481544
"290",28033904,223,"Not Available","Library",28033904,223,NA,"Library",5.40717177146012
"291",28033905,170,"46984.5","Police Station",28033905,170,46984.5,"Police Station",5.13579843705026
"292",28033912,839.8,"96147.1","Library",28033912,839.8,96147.1,"Library",6.73316376825009
"293",28033920,1067,"Not Available","Fire Station",28033920,1067,NA,"Fire Station",6.97260625130175
"294",28033923,2221,"Not Available","Other - Public Services",28033923,2221,NA,"Other - Public Services",7.70571282389443
"295",28033926,650,"365803.2","Other - Recreation",28033926,650,365803.2,"Other - Recreation",6.47697236288968
"296",28033929,926,"Not Available","Social/Meeting Hall",28033929,926,NA,"Social/Meeting Hall",6.83087423464618
"297",28033930,1981.4,"360320.9","Other - Lodging/Residential",28033930,1981.4,360320.9,"Other - Lodging/Residential",7.59155894453893
"298",28033931,41.8,"Not Available","Wastewater Treatment Plant",28033931,41.8,NA,"Wastewater Treatment Plant",3.73289633953071
"299",28033940,1110.7,"179177.1","Library",28033940,1110.7,179177.1,"Library",7.01274572617307
"300",28033943,650.3,"149777.1","Library",28033943,650.3,149777.1,"Library",6.47743379487511
"301",28033949,1227,"135747.70000000001","Social/Meeting Hall",28033949,1227,135747.7,"Social/Meeting Hall",7.11232744471091
"302",28033950,1073,"123216.5","Pre-school/Daycare",28033950,1073,123216.5,"Pre-school/Daycare",6.9782137426307
"303",28033958,88,"Not Available","Other - Public Services",28033958,88,NA,"Other - Public Services",4.47733681447821
"304",28033959,337.8,"64203.3","Library",28033959,337.8,64203.3,"Library",5.8224540043737
"305",28033965,258,"Not Available","Social/Meeting Hall",28033965,258,NA,"Social/Meeting Hall",5.55295958492162
"306",28033967,255,"6475940.5999999996","Drinking Water Treatment & Distribution",28033967,255,6475940.6,"Drinking Water Treatment & Distribution",5.54126354515843
"307",28033969,1000,"Not Available","Other - Public Services",28033969,1000,NA,"Other - Public Services",6.90775527898214
"308",28033976,623.7,"Not Available","Library",28033976,623.7,NA,"Library",6.43566948353208
